Date;FlowCode;ProductCode;LocationCode;Volume
29/09/2017;6;2;1;56936
06/10/2017;6;2;1;58210
13/10/2017;6;2;1;57912
20/10/2017;6;2;1;56880
27/10/2017;6;2;1;53990
03/11/2017;6;2;1;52416
10/11/2017;6;2;1;52941
17/11/2017;6;2;1;53487
24/11/2017;6;2;1;56069
01/12/2017;6;2;1;58450
08/12/2017;6;2;1;59200
15/12/2017;6;2;1;57820
22/12/2017;6;2;1;58155
29/12/2017;6;2;1;58210
05/01/2018;6;2;1;61447
12/01/2018;6;2;1;60968
19/01/2018;6;2;1;63219
26/01/2018;6;2;1;63317
02/02/2018;6;2;1;64900
09/02/2018;6;2;1;66041
16/02/2018;6;2;1;65293
23/02/2018;6;2;1;65244
02/03/2018;6;2;1;61856
09/03/2018;6;2;1;59462
16/03/2018;6;2;1;59668
23/03/2018;6;2;1;56349
30/03/2018;6;2;1;57423
06/04/2018;6;2;1;60524
13/04/2018;6;2;1;60254
20/04/2018;6;2;1;60798
27/04/2018;6;2;1;62055
04/05/2018;6;2;1;63897
02/12/2011;6;6;1;5782
09/12/2011;6;6;1;5871
16/12/2011;6;6;1;6696
23/12/2011;6;6;1;6468
30/12/2011;6;6;1;6265
06/01/2012;6;6;1;6392
13/01/2012;6;6;1;7051
20/01/2012;6;6;1;7537
27/01/2012;6;6;1;7827
03/02/2012;6;6;1;7988
10/02/2012;6;6;1;8025
17/02/2012;6;6;1;8054
24/02/2012;6;6;1;8689
02/03/2012;6;6;1;8931
09/03/2012;6;6;1;9007
16/03/2012;6;6;1;9116
23/03/2012;6;6;1;9175
30/03/2012;6;6;1;9270
06/04/2012;6;6;1;8904
13/04/2012;6;6;1;8924
20/04/2012;6;6;1;8728
27/04/2012;6;6;1;8492
04/05/2012;6;6;1;8160
11/05/2012;6;6;1;7923
18/05/2012;6;6;1;8322
25/05/2012;6;6;1;8334
01/06/2012;6;6;1;8225
08/06/2012;6;6;1;8224
15/06/2012;6;6;1;8366
22/06/2012;6;6;1;8334
29/06/2012;6;6;1;7780
06/07/2012;6;6;1;7403
13/07/2012;6;6;1;7343
20/07/2012;6;6;1;7290
27/07/2012;6;6;1;7402
03/08/2012;6;6;1;7143
10/08/2012;6;6;1;7452
17/08/2012;6;6;1;7060
24/08/2012;6;6;1;7321
31/08/2012;6;6;1;7221
07/09/2012;6;6;1;6978
14/09/2012;6;6;1;7343
21/09/2012;6;6;1;7578
28/09/2012;6;6;1;7341
05/10/2012;6;6;1;7307
12/10/2012;6;6;1;7070
